Floor,Building,Location index P,x,y,z (floor),z (device_height)
4,C,1,32,0,10.8,11.8
4,C,2,30,0,10.8,11.8
4,C,3,28,0,10.8,11.8
4,C,4,26,0,10.8,11.8
4,C,5,24,0,10.8,11.8
4,C,6,22,0,10.8,11.8
4,C,7,20,0,10.8,11.8
4,C,8,18,0,10.8,11.8
4,C,9,16,0,10.8,11.8
4,C,10,14,0,10.8,11.8
4,C,11,12,0,10.8,11.8
4,C,12,10,0,10.8,11.8
4,C,13,8,0,10.8,11.8
4,C,14,6,0,10.8,11.8
4,C,15,4,0,10.8,11.8
4,C,16,2,0,10.8,11.8
4,C,17,0,0,10.8,11.8
4,C2,18,0,2,10.8,11.8
4,C2,19,0,4,10.8,11.8
4,C2,20,0,6,10.8,11.8
4,C2,21,0,8,10.8,11.8
4,C2,22,0,10,10.8,11.8
4,C2,23,0,12,10.8,11.8
4,C2,24,0,14,10.8,11.8
4,C2,25,0,16,10.8,11.8
4,C2,26,0,18,10.8,11.8
4,C2,27,0,20,10.8,11.8
4,C2,28,0,22,10.8,11.8
4,C2,29,0,24,10.8,11.8
4,C2,30,0,26,10.8,11.8
4,C2,31,0,28,10.8,11.8
4,C2,32,0,30,10.8,11.8
4,C2,33,0,32,10.8,11.8
4,C2,34,0,34,10.8,11.8
4,C2,35,0,36,10.8,11.8
4,C2,36,0,38,10.8,11.8
4,C2,37,0,40,10.8,11.8
4,C2,38,0,42,10.8,11.8
4,C2,39,0,44,10.8,11.8
4,C2,40,0,46,10.8,11.8
4,C2,41,0,48,10.8,11.8
4,C2,42,0,50,10.8,11.8
4,C2,43,0,52,10.8,11.8
4,C2,44,0,54,10.8,11.8
4,C2,45,0,56,10.8,11.8
4,C3,46,2,56,10.8,11.8
4,C3,47,4,56,10.8,11.8
4,C3,48,6,56,10.8,11.8
4,C3,49,8,56,10.8,11.8
4,C3,50,10,56,10.8,11.8
4,C3,51,12,56,10.8,11.8
4,C3,52,14,56,10.8,11.8
4,C3,53,16,56,10.8,11.8
4,C3,54,18,56,10.8,11.8
4,C3,55,20,56,10.8,11.8
4,C3,56,22,56,10.8,11.8
4,C3,57,24,56,10.8,11.8
4,C3,58,26,56,10.8,11.8
4,C3,59,28,56,10.8,11.8